Temperature,Cooling Rate,Mean Iterations,Std Iterations,Max Iterations,Min Iterations
0.1,0.1,106.19565217391305,101.39057489110405,558,2
0.1,0.2,129.58695652173913,134.31477889594902,765,3
0.1,0.3,120.33695652173913,122.86040834444319,645,0
0.1,0.4,121.96739130434783,119.5351004559782,589,0
0.1,0.5,89.1413043478261,82.48749332365736,465,0
0.1,0.6,128.02173913043478,152.82271472561226,1074,5
0.1,0.7,129.69565217391303,119.2324856457766,597,4
0.1,0.8,91.54347826086956,90.68176714339839,445,4
0.1,0.9,106.59782608695652,100.92873721232276,504,3
0.1,1.0,92.18478260869566,101.06733972819978,537,2
0.2,0.1,126.81521739130434,126.27419521472571,697,1
0.2,0.2,120.18478260869566,115.62156498754949,602,2
0.2,0.3,106.1195652173913,104.67660782571203,470,4
0.2,0.4,114.34782608695652,107.75590721047438,494,7
0.2,0.5,119.66304347826087,108.29491508937758,565,4
0.2,0.6,123.6086956521739,114.93419256269131,605,2
0.2,0.7,123.56521739130434,136.13694386837946,646,0
0.2,0.8,112.67391304347827,101.58377445495015,478,2
0.2,0.9,90.84782608695652,105.39459341617604,673,5
0.2,1.0,102.56521739130434,127.20902896822889,711,4
0.3,0.1,114.3586956521739,117.41218564284165,683,3
0.3,0.2,133.19565217391303,136.47361897725355,836,0
0.3,0.3,122.82608695652173,124.54452745693284,747,0
0.3,0.4,115.72826086956522,116.6662932638727,506,1
0.3,0.5,138.4891304347826,124.34720802141928,790,2
0.3,0.6,110.1086956521739,131.87794559016035,732,0
0.3,0.7,113.18478260869566,97.01836775309344,467,2
0.3,0.8,114.76086956521739,147.2879735907221,916,1
0.3,0.9,119.33695652173913,117.50996971338894,559,4
0.3,1.0,96.46739130434783,84.39882688847771,386,1
0.4,0.1,135.2391304347826,134.17002269712933,663,0
0.4,0.2,126.52173913043478,141.07248200688937,860,1
0.4,0.3,117.57608695652173,133.45429389345676,725,4
0.4,0.4,92.59782608695652,83.97645371104211,369,0
0.4,0.5,116.6195652173913,111.49964343784909,575,3
0.4,0.6,104.76086956521739,104.52993845796748,546,0
0.4,0.7,127.21739130434783,128.77768390313432,758,6
0.4,0.8,133.67391304347825,154.3168049046909,746,3
0.4,0.9,122.20652173913044,116.383785853704,582,8
0.4,1.0,106.75,104.33231032743821,534,0
0.5,0.1,111.30434782608695,125.67277550382795,646,1
0.5,0.2,126.3804347826087,134.49412807542004,574,0
0.5,0.3,123.90217391304348,127.25727618922302,710,1
0.5,0.4,89.27173913043478,85.86758046688107,376,0
0.5,0.5,109.97826086956522,125.96876581991592,959,0
0.5,0.6,115.06521739130434,107.65704447435263,497,1
0.5,0.7,121.51086956521739,116.71132117557492,519,3
0.5,0.8,101.47826086956522,126.62787644364728,779,1
0.5,0.9,112.6304347826087,105.34918309162077,505,4
0.5,1.0,121.95652173913044,112.31786348336101,573,6
0.6,0.1,127.07608695652173,139.3894476774283,834,4
0.6,0.2,124.05434782608695,122.30711203772843,533,6
0.6,0.3,121.05434782608695,131.73551930407302,790,2
0.6,0.4,108.3804347826087,150.8181198310607,1184,0
0.6,0.5,109.90217391304348,118.72557504256253,565,1
0.6,0.6,91.0,91.70937081701179,553,1
0.6,0.7,104.76086956521739,95.20736744934797,383,5
0.6,0.8,128.40217391304347,145.6175052023659,724,0
0.6,0.9,111.20652173913044,119.81231137686527,580,2
0.6,1.0,98.83695652173913,98.51851262512885,537,4
0.7,0.1,97.65217391304348,100.68325653974455,522,3
0.7,0.2,113.93478260869566,113.46698469712274,637,5
0.7,0.3,105.40217391304348,124.47664874276872,716,0
0.7,0.4,106.53260869565217,103.42382736636539,609,2
0.7,0.5,102.80434782608695,108.39272788963879,579,3
0.7,0.6,92.26086956521739,91.10002500419851,544,4
0.7,0.7,117.66304347826087,102.06000762274434,449,2
0.7,0.8,120.69565217391305,116.28186698618173,730,1
0.7,0.9,122.01086956521739,116.63902831098522,628,3
0.7,1.0,106.66304347826087,132.65591951376157,729,1
0.8,0.1,110.20652173913044,109.71599087242977,475,1
0.8,0.2,118.93478260869566,131.7210329799329,853,2
0.8,0.3,104.19565217391305,112.0616328022834,654,6
0.8,0.4,122.6413043478261,160.59959537022903,1342,3
0.8,0.5,100.66304347826087,112.96943383960807,499,2
0.8,0.6,114.75,137.98201087854517,733,0
0.8,0.7,141.58695652173913,160.58826315970379,723,6
0.8,0.8,115.45652173913044,125.13457217379653,717,0
0.8,0.9,78.05434782608695,76.99821625975089,396,1
0.8,1.0,109.42391304347827,87.79648325328648,433,5
0.9,0.1,112.52173913043478,113.95999281411356,533,2
0.9,0.2,95.5,109.71499639877226,620,5
0.9,0.3,121.43478260869566,126.669743852119,656,5
0.9,0.4,100.98913043478261,139.92338700045335,1076,1
0.9,0.5,128.6413043478261,163.275479503183,1001,0
0.9,0.6,122.43478260869566,116.28201329636967,552,5
0.9,0.7,104.73913043478261,101.12077040815852,525,4
0.9,0.8,134.0326086956522,140.84152758755036,758,2
0.9,0.9,119.26086956521739,120.76836160377952,722,6
0.9,1.0,136.7826086956522,104.563463783542,470,2
1.0,0.1,101.57608695652173,120.94799760152512,704,0
1.0,0.2,86.76086956521739,82.22429155050828,356,4
1.0,0.3,113.34782608695652,101.11266152842116,418,3
1.0,0.4,121.47826086956522,144.5438460829574,789,3
1.0,0.5,121.6086956521739,138.6406017230334,779,4
1.0,0.6,115.47826086956522,125.6705041541838,725,1
1.0,0.7,118.95652173913044,126.37529624473757,611,0
1.0,0.8,94.94565217391305,96.33922901037666,504,2
1.0,0.9,108.21739130434783,122.59085593310823,694,2
1.0,1.0,125.55434782608695,116.0359168655789,735,1
